77,48300,70035,29583,10264,11471
78,37433,77883,35017,10264,16301
79,44677,85732,31395,10264,17508
80,38640,85732,32603,11472,19320
81,41055,85732,36225,11471,18112
82,48300,97203,29583,12679,13886
83,49507,99618,35621,12679,18716
84,222179,176294,35621,33206,18113
85,237273,172068,30187,13282,18113
86,236669,176294,38036,12679,14490
87,51922,99618,34413,13886,21735
88,152748,126787,45885,12678,19924
89,204670,77279,38639,14490,19923
90,1626494,39847,43470,14490,20527
91,542768,15697,23546,12679,22339
92,251159,125579,39244,14490,18716
93,268063,25961,35621,13282,18112
94,236669,27168,131013,15698,19924
95,481186,28979,42866,15697,19923
96,252366,114108,45885,13282,19924
97,166030,25961,45885,15093,18716
98,59771,26564,43470,14490,21131
99,195010,28376,43470,16301,21735
100,65808,27773,45884,16301,19923
101,172067,28980,48904,18113,21735
102,69431,38640,49507,13886,18716
103,172672,30791,48904,15698,24150
104,780040,22338,139465,16301,23546
105,525863,32602,52526,22339,23547
106,247536,31395,141277,16301,21734
107,453414,28980,53130,16301,21735
108,249951,120146,54337,15094,22339
109,468507,16905,30187,11471,13283
110,349569,28980,50111,16905,21735
111,432283,57960,57356,20527,23547
112,252366,121957,92977,12679,17508
113,450998,39847,60978,18112,23546
114,244517,114712,54337,19320,24150
115,452206,19319,34414,13886,18113
116,167841,39847,57960,16301,22942
117,284968,21734,36224,12679,16301
118,378549,39848,63997,18717,25357
119,428660,36828,66412,29584,25358
120,448583,23546,35017,9056,16905
121,353795,50111,67016,11471,27772
122,824717,40451,54941,12075,29583
123,650839,47092,234254,11471,71846
124,253574,40451,118334,11471,23546
125,382171,35017,99014,9056,21131
126,427452,42866,123768,11471,22942
127,475149,47696,104448,11471,23546
128,536730,40451,200444,21132,54337
129,194406,42866,129806,12075,25358
130,514392,51319,139465,12075,24150
131,478167,28376,80902,9056,15094
132,480582,124372,145503,12679,27772
133,470922,44677,137051,12075,27169
134,490242,73657,15094,9660,19924
135,471526,51318,22942,12075,28980
136,312137,109882,23547,12075,28980
137,673178,51922,22338,14490,30791
138,39244,6641,19923,13282,27169
139,44073,8452,21131,18112,48300
140,81506,227009,21735,19320,35621
141,44677,7848,22339,13283,28376
142,46489,8453,24754,12678,29584
143,44074,9056,22339,12679,28376
144,37432,5434,16905,9660,17508
145,36225,5434,15697,9660,18716
146,38036,5434,16301,9660,19320
147,36225,5433,16301,12678,27169
148,47092,7849,24150,12075,32602
149,50111,7849,26564,13283,34414
150,50715,8453,25961,13283,33809
151,48300,9056,25961,13886,30187
152,53733,9660,28376,18716,27168
153,51318,9056,27772,18716,29584
154,52526,8453,29584,18716,28980
155,53130,9660,27772,13282,34413
156,56149,10264,28376,18716,29583
157,56752,10264,28980,18717,26565
158,48903,8452,25357,18113,29584
159,43470,6037,18716,10868,20527
160,42262,6641,19320,10264,20527
161,46488,6641,19320,10868,19923
162,44678,6038,19319,11472,18716
163,54941,9660,30188,15094,35017
164,58563,10263,31395,18716,33206
165,48904,7245,18716,11472,22942
166,46488,6641,20527,12075,25358
167,50715,8452,24754,13886,25961
168,47696,7245,20527,10867,22339
169,53733,86940,28979,17508,24150
170,60375,10867,32602,14490,33206
171,54338,9660,24150,20527,29584
172,61582,10263,32602,15697,28376
173,59771,10867,33809,15094,22339
174,51318,7245,21131,11471,28980
175,53130,8453,21735,12075,25357
176,51318,6641,22942,12075,25357
177,53130,7245,22943,12075,25961
178,53734,7849,22943,12075,25357
179,51922,6641,22942,12075,27772
180,56752,7245,22942,12679,25357
181,57356,7848,22943,12679,27168
182,56149,7245,23546,12679,27168
183,57959,7849,23547,12679,36829
184,55545,7849,23547,11472,31395
185,57356,8453,24149,12075,22943
186,56149,9056,24753,16301,22942
187,59167,9056,24149,16905,22338
188,56752,8452,23546,12679,29584
189,55544,7849,24149,12679,24150
190,59168,8453,24150,16905,21735
191,61582,8453,25358,17509,24150
192,60374,9056,25357,16905,23546
193,81505,15093,36224,18716,35622
194,80902,12075,41658,16905,38640
195,78487,12679,44073,17509,37433
196,216745,23547,135240,18716,47092
197,68827,11471,35621,18716,37432
198,78487,12075,41055,16905,36828
199,74865,16301,38640,14490,25357
200,79091,12075,39244,13886,24754
201,83921,12678,37432,13886,25961
202,81506,12679,39847,14490,22942
203,80902,12075,39847,13886,26565
204,79695,11471,42262,18113,36225
205,108674,16905,31395,25358,44074
206,81506,14490,40451,16301,35018
207,72450,10263,28376,14490,25961
208,70034,10263,29584,14490,24754
209,73657,10263,33206,14490,24150
210,70034,10867,34413,14490,24753
211,97807,13886,39848,14490,29583
212,94184,13283,40451,14490,33206
213,74261,10263,30791,15094,28376
214,70035,10868,30187,15697,28376
215,72450,10868,35018,15094,28377
216,74261,10264,35621,15094,28376
217,74864,9660,35018,15094,28376
218,74865,10263,35621,15094,27772
219,77883,10264,35621,15697,28376
220,100826,15698,39847,15697,30187
221,97807,16904,38640,15094,34414
222,78487,11471,36224,15094,26565
